순위,팀명,경기,승,패,무,승률,게임차,최근10경기,연속,홈,방문
1,KT,107,63,41,3,0.606,0.0,4승1무5패,1승,31-1-20,32-2-21
2,삼성,109,63,44,2,0.589,1.5,4승0무6패,2패,32-1-21,31-1-23
3,KIA,111,60,49,2,0.55,5.5,7승0무3패,1패,30-2-22,30-0-27
4,LG,111,60,50,1,0.545,6.0,5승0무5패,2패,35-0-23,25-1-27
5,두산,111,57,50,4,0.533,7.5,5승0무5패,2패,30-2-21,27-2-29
6,NC,104,48,54,2,0.471,14.0,6승0무4패,2승,27-0-29,21-2-25
7,롯데,109,50,57,2,0.467,14.5,7승0무3패,5승,23-0-31,27-2-26
8,한화,108,49,56,3,0.467,14.5,3승0무7패,1승,23-2-30,26-1-26
9,SSG,113,45,63,5,0.417,20.0,6승1무3패,1승,21-4-29,24-1-34
10,키움,115,41,72,2,0.363,26.5,3승0무7패,1승,24-1-34,17-1-38
